accx	accy	accz
-136	-351	-4083
-136	-351	-4083
-137	-348	-4083
-136	-348	-4084
-138	-349	-4084
-138	-349	-4083
-136	-349	-4084
-133	-350	-4083
-134	-350	-4084
-135	-350	-4084
-138	-349	-4084
-138	-349	-4084
-138	-348	-4084
-140	-347	-4084
-142	-347	-4084
-143	-347	-4084
-144	-347	-4083
-144	-347	-4083
-143	-347	-4083
-144	-347	-4082
-146	-346	-4082
-147	-346	-4083
-142	-343	-4084
-145	-341	-4084
-152	-339	-4083
-149	-337	-4084
-148	-337	-4084
-147	-337	-4084
-148	-338	-4085
-148	-337	-4085
-149	-336	-4085
-149	-335	-4085
-149	-335	-4084
-150	-335	-4084
-151	-334	-4085
-151	-334	-4085
-150	-336	-4084
-150	-336	-4084
-149	-337	-4083
-149	-337	-4084
-150	-337	-4084
-150	-339	-4084
-150	-344	-4083
-149	-344	-4083
-148	-345	-4083
-147	-344	-4084
-136	-348	-4084
-133	-349	-4084
-130	-349	-4084
-130	-350	-4084
-131	-349	-4085
-131	-349	-4085
-129	-349	-4085
-129	-349	-4086
-128	-349	-4085
-129	-349	-4085
-130	-350	-4085
-132	-349	-4085
-131	-348	-4085
-130	-348	-4085
-131	-348	-4085
-135	-349	-4085
-135	-349	-4085
-137	-349	-4084
-141	-348	-4084
-145	-346	-4084
-147	-346	-4084
-148	-346	-4084
-148	-346	-4085
-148	-345	-4084
-148	-345	-4084
-146	-345	-4085
-147	-345	-4085
-145	-346	-4085
-145	-346	-4084
-142	-347	-4084
-139	-349	-4084
-135	-350	-4086
-134	-351	-4086
-134	-351	-4085
-135	-352	-4086
-132	-351	-4085
-133	-350	-4085
-134	-351	-4085
-133	-350	-4085
-133	-349	-4086
-131	-350	-4086
-131	-350	-4086
-130	-349	-4085
-132	-349	-4084
-134	-349	-4084
-134	-350	-4084
-133	-350	-4084
-131	-351	-4085
-132	-350	-4084
-135	-347	-4084
-135	-349	-4084
-143	-346	-4084
-149	-344	-4083
-151	-344	-4082
-151	-344	-4082
-149	-345	-4082
-148	-345	-4083
-146	-346	-4083
-144	-346	-4083
-141	-347	-4083
-141	-346	-4083
-142	-346	-4083
-142	-347	-4083
-138	-349	-4083
-136	-348	-4084
-134	-348	-4084
-134	-348	-4085
-133	-349	-4085
-134	-348	-4085
-133	-347	-4084
-133	-348	-4085
-132	-349	-4085
-130	-350	-4084
-129	-350	-4084
-130	-350	-4084
-129	-349	-4085
-128	-349	-4085
-125	-350	-4085
-122	-351	-4086
-119	-352	-4086
-119	-352	-4086
-122	-351	-4086
-124	-350	-4085
-129	-349	-4085
-129	-349	-4085
-128	-351	-4084
