accx	accy	accz
-128	-4053	1745
-128	-4053	1745
-127	-4053	1746
-127	-4052	1748
-126	-4052	1748
-127	-4051	1748
-127	-4051	1748
-129	-4049	1752
-128	-4048	1753
-128	-4048	1754
-127	-4049	1753
-129	-4048	1754
-128	-4049	1754
-128	-4049	1754
-127	-4049	1752
-128	-4051	1749
-130	-4052	1749
-129	-4053	1748
-125	-4050	1749
-127	-4052	1746
-128	-4052	1746
-128	-4051	1748
-128	-4050	1750
-128	-4050	1750
-128	-4052	1747
-127	-4053	1746
-128	-4051	1746
-125	-4054	1743
-125	-4054	1743
-126	-4053	1742
-127	-4054	1744
-129	-4056	1738
-129	-4056	1740
-127	-4056	1740
-127	-4057	1737
-127	-4058	1733
-127	-4058	1731
-128	-4059	1728
-129	-4060	1725
-128	-4063	1718
-128	-4065	1715
-128	-4065	1714
-127	-4066	1714
-132	-4068	1712
-129	-4067	1713
-123	-4065	1717
-124	-4066	1715
-126	-4065	1718
-127	-4065	1717
-128	-4064	1717
-127	-4064	1718
-127	-4064	1717
-125	-4065	1715
-126	-4066	1714
-126	-4066	1714
-128	-4065	1714
-138	-4066	1713
-133	-4068	1709
-120	-4068	1710
-125	-4069	1707
-126	-4069	1706
-126	-4069	1705
-126	-4069	1705
-126	-4069	1706
-126	-4069	1706
-127	-4069	1705
-127	-4070	1704
-127	-4069	1705
-127	-4069	1705
-126	-4070	1704
-128	-4069	1706
-127	-4069	1707
-128	-4068	1708
-128	-4069	1705
-131	-4069	1705
-127	-4070	1703
-127	-4071	1703
-127	-4070	1703
-127	-4069	1704
-127	-4070	1705
-127	-4069	1706
-127	-4069	1705
-127	-4070	1704
-128	-4071	1704
-127	-4071	1703
-127	-4071	1703
-127	-4071	1704
-127	-4071	1702
-127	-4071	1702
-128	-4071	1702
-129	-4071	1703
-129	-4069	1704
-128	-4069	1704
-129	-4070	1703
-129	-4070	1702
-129	-4070	1702
-129	-4070	1702
-128	-4070	1702
-128	-4069	1703
-130	-4070	1701
-131	-4071	1699
-131	-4072	1698
-131	-4072	1698
-131	-4071	1701
-131	-4071	1700
-131	-4071	1699
-130	-4071	1699
-130	-4069	1702
-129	-4069	1703
-128	-4069	1704
-129	-4069	1704
-134	-4070	1702
-126	-4071	1700
-129	-4070	1701
-130	-4070	1702
-129	-4070	1702
-129	-4070	1702
-130	-4070	1703
-129	-4068	1706
