accx	accy	accz
-463	-3292	-2796
-464	-3297	-2791
-463	-3301	-2788
-465	-3300	-2787
-464	-3302	-2787
-464	-3301	-2787
-461	-3299	-2790
-463	-3297	-2793
-465	-3299	-2791
-466	-3295	-2793
-465	-3292	-2795
-467	-3293	-2794
-471	-3294	-2792
-473	-3294	-2792
-471	-3294	-2793
-472	-3296	-2791
-473	-3294	-2792
-473	-3295	-2792
-473	-3297	-2790
-472	-3298	-2789
-466	-3298	-2791
-466	-3299	-2790
-466	-3298	-2791
-466	-3297	-2792
-464	-3297	-2792
-465	-3296	-2792
-467	-3298	-2790
-467	-3298	-2790
-464	-3298	-2791
-465	-3297	-2792
-466	-3297	-2791
-467	-3296	-2792
-466	-3296	-2793
-466	-3294	-2794
-465	-3294	-2794
-464	-3296	-2794
-462	-3295	-2797
-461	-3296	-2797
-460	-3294	-2798
-460	-3291	-2800
-463	-3295	-2795
-462	-3298	-2793
-462	-3299	-2792
-462	-3299	-2791
-460	-3298	-2793
-459	-3293	-2797
-459	-3291	-2799
-459	-3294	-2798
-461	-3294	-2797
-463	-3293	-2797
-463	-3292	-2798
-461	-3292	-2798
-460	-3292	-2799
-461	-3292	-2798
-462	-3292	-2798
-463	-3291	-2800
-464	-3290	-2800
-464	-3290	-2800
-464	-3291	-2799
-465	-3290	-2800
-465	-3289	-2801
-464	-3290	-2801
-464	-3290	-2802
-463	-3287	-2803
-464	-3288	-2803
-465	-3288	-2803
-465	-3288	-2802
-465	-3290	-2799
-467	-3291	-2798
-467	-3290	-2800
-466	-3288	-2801
-464	-3289	-2800
-464	-3287	-2802
-463	-3287	-2804
-463	-3286	-2805
-466	-3285	-2804
-470	-3287	-2802
-471	-3285	-2803
-470	-3283	-2805
-468	-3279	-2809
-468	-3278	-2811
-469	-3277	-2813
-469	-3277	-2813
-471	-3273	-2816
-472	-3272	-2817
-472	-3272	-2817
-471	-3270	-2818
-472	-3271	-2818
-473	-3272	-2818
-473	-3270	-2818
-472	-3270	-2819
-471	-3270	-2820
-472	-3269	-2819
-474	-3270	-2818
-474	-3270	-2818
-473	-3270	-2819
-474	-3271	-2818
-473	-3272	-2816
-473	-3274	-2814
-471	-3273	-2815
-472	-3273	-2815
-472	-3271	-2816
-473	-3273	-2815
-473	-3274	-2815
-473	-3273	-2816
-473	-3271	-2818
-473	-3269	-2819
-473	-3270	-2819
-473	-3270	-2819
-473	-3270	-2819
-474	-3269	-2818
-471	-3270	-2819
-472	-3270	-2819
-473	-3269	-2820
-474	-3268	-2820
-472	-3271	-2819
-470	-3270	-2820
-468	-3271	-2819
-468	-3271	-2819
-467	-3271	-2820
-469	-3271	-2820
-470	-3271	-2819
-468	-3273	-2818
-466	-3272	-2820
-466	-3273	-2819
-465	-3273	-2820
-463	-3276	-2818
-464	-3276	-2816
-467	-3279	-2813
-470	-3280	-2810
-471	-3279	-2810
-469	-3280	-2810
-469	-3278	-2813
-471	-3275	-2815
-472	-3274	-2817
-473	-3272	-2818
-475	-3271	-2818
-477	-3272	-2817
-481	-3273	-2814
-482	-3274	-2813
-482	-3274	-2813
-483	-3273	-2813
-484	-3274	-2812
-483	-3272	-2814
-482	-3268	-2817
-482	-3269	-2816
-482	-3273	-2813
-479	-3276	-2810
-478	-3275	-2811
-477	-3275	-2812
-476	-3274	-2812
