accx	accy	accz
-134	-334	4174
-134	-334	4174
-133	-334	4173
-133	-334	4172
-134	-334	4173
-132	-334	4173
-133	-333	4172
-133	-334	4172
-132	-334	4172
-133	-334	4173
-133	-334	4173
-133	-333	4173
-133	-333	4173
-133	-333	4172
-134	-334	4172
-133	-334	4172
-133	-334	4173
-133	-334	4173
-133	-335	4173
-133	-334	4173
-133	-333	4173
-133	-333	4173
-133	-333	4173
-133	-334	4173
-133	-333	4173
-133	-333	4174
-133	-333	4175
-133	-334	4174
-133	-333	4174
-134	-334	4174
-134	-334	4173
-133	-333	4173
-133	-334	4173
-133	-334	4173
-133	-334	4174
-133	-334	4174
-133	-333	4174
-133	-333	4174
-133	-333	4173
-133	-333	4173
-133	-332	4174
-133	-333	4173
-132	-334	4173
-133	-334	4173
-133	-333	4173
-134	-333	4173
-132	-334	4173
-133	-335	4173
-132	-335	4174
-132	-336	4174
-132	-334	4174
-133	-334	4174
-133	-334	4174
-133	-335	4174
-133	-334	4173
-133	-334	4173
-133	-334	4173
-132	-334	4174
-133	-334	4174
-132	-334	4174
-132	-334	4174
-132	-334	4174
-132	-334	4174
-133	-334	4174
-133	-333	4174
-133	-333	4174
-133	-333	4174
-132	-333	4174
-133	-332	4173
-133	-332	4173
-133	-333	4173
-132	-334	4173
-132	-333	4173
-132	-333	4173
-133	-334	4173
-133	-333	4173
-133	-333	4173
-132	-333	4174
-133	-334	4174
-132	-332	4174
-133	-332	4174
-132	-331	4174
-134	-333	4174
-132	-332	4173
-134	-333	4173
-132	-332	4173
-134	-334	4173
-132	-332	4173
-132	-334	4173
-132	-333	4173
-134	-333	4173
-133	-333	4173
-132	-333	4173
-133	-334	4173
-133	-333	4173
-133	-333	4173
-132	-332	4173
-134	-334	4173
-133	-333	4174
-134	-333	4174
-133	-333	4173
-133	-333	4173
-133	-332	4173
-134	-334	4173
-133	-333	4173
-133	-333	4173
-133	-333	4173
-133	-334	4174
-134	-334	4173
-133	-333	4174
-133	-334	4174
-133	-334	4174
-133	-334	4174
-134	-334	4174
-133	-334	4174
-132	-334	4174
-132	-334	4174
-133	-335	4174
-133	-334	4174
-132	-335	4174
-133	-334	4174
-133	-335	4174
-132	-334	4173
-133	-334	4174
-132	-334	4174
-132	-336	4177
-132	-333	4177
