0.000e+00	-0.000e+00
5.000e-04	-8.468e-12
1.000e-03	-1.694e-11
1.500e-03	-2.540e-11
2.000e-03	-3.387e-11
2.500e-03	-4.233e-11
3.000e-03	-5.080e-11
3.500e-03	-5.926e-11
4.000e-03	-6.772e-11
4.500e-03	-7.617e-11
5.000e-03	-8.463e-11
5.500e-03	-9.308e-11
6.000e-03	-1.015e-10
6.500e-03	-1.100e-10
7.000e-03	-1.184e-10
7.500e-03	-1.268e-10
8.000e-03	-1.353e-10
8.500e-03	-1.437e-10
9.000e-03	-1.521e-10
9.500e-03	-1.605e-10
1.000e-02	-1.689e-10
1.050e-02	-1.773e-10
1.100e-02	-1.857e-10
1.150e-02	-1.941e-10
1.200e-02	-2.025e-10
1.250e-02	-2.108e-10
1.300e-02	-2.192e-10
1.350e-02	-2.275e-10
1.400e-02	-2.359e-10
1.450e-02	-2.442e-10
1.500e-02	-2.525e-10
1.550e-02	-2.609e-10
1.600e-02	-2.692e-10
1.650e-02	-2.774e-10
1.700e-02	-2.857e-10
1.750e-02	-2.940e-10
1.800e-02	-3.023e-10
1.850e-02	-3.105e-10
1.900e-02	-3.187e-10
1.950e-02	-3.270e-10
2.000e-02	-3.352e-10
2.050e-02	-3.434e-10
2.100e-02	-3.515e-10
2.150e-02	-3.597e-10
2.200e-02	-3.679e-10
2.250e-02	-3.760e-10
2.300e-02	-3.841e-10
2.350e-02	-3.922e-10
2.400e-02	-4.003e-10
2.450e-02	-4.084e-10
2.500e-02	-4.165e-10
2.550e-02	-4.245e-10
2.600e-02	-4.325e-10
2.650e-02	-4.406e-10
2.700e-02	-4.486e-10
2.750e-02	-4.565e-10
2.800e-02	-4.645e-10
2.850e-02	-4.724e-10
2.900e-02	-4.804e-10
2.950e-02	-4.883e-10
3.000e-02	-4.961e-10
3.050e-02	-5.040e-10
3.100e-02	-5.118e-10
3.150e-02	-5.197e-10
3.200e-02	-5.275e-10
3.250e-02	-5.353e-10
3.300e-02	-5.430e-10
