ngroups	altitude	altitude_noise	pressure	pressure_noise
1	994.013300000000	0.00520000000000000	161.458900000000	0.0443000000000000
2	994.053000000000	0.00750000000000000	161.122700000000	0.0633000000000000
3	994.101900000000	0.0150000000000000	160.709600000000	0.127000000000000
4	993.243000000000	0.00800000000000000	167.974000000000	0.0710000000000000
5	994.370000000000	0.0240000000000000	158.444000000000	0.202000000000000
6	993.683000000000	0.0490000000000000	164.250000000000	0.417000000000000
7	994.306000000000	0.0140000000000000	158.982000000000	0.120000000000000
8	993.767000000000	0.00800000000000000	163.538000000000	0.0650000000000000
9	994.011000000000	0.0200000000000000	161.482000000000	0.172000000000000
10	994.257000000000	0.00900000000000000	159.398000000000	0.0760000000000000
11	993.919000000000	0.00600000000000000	162.259000000000	0.0520000000000000
12	994.206000000000	0.00690000000000000	159.829000000000	0.0580000000000000
13	994.265000000000	0.0100000000000000	159.328000000000	0.0820000000000000
14	994.027994820513	0.0123954695186980	161.334321619048	0.104794789551489
15	994.039000000000	0.00600000000000000	161.244000000000	0.0520000000000000
17	994.001000000000	0.00748000000000000	161.559000000000	0.0632000000000000
18	993.994000000000	0.0240000000000000	162.041000000000	0.203000000000000
19	993.849000000000	0.0230000000000000	162.847000000000	0.191000000000000
20	993.683200000000	0.00560000000000000	164.249600000000	0.0471000000000000
22	993.716400000000	0.00680000000000000	163.969400000000	0.0574000000000000
